HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,EloDiff,Liga_AUT,Liga_B1,Liga_D1,Liga_D2,Liga_DEN,Liga_E0,Liga_E1,Liga_E2,Liga_F1,Liga_F2,Liga_FIN,Liga_G1,Liga_I1,Liga_I2,Liga_N1,Liga_NOR,Liga_P1,Liga_POL,Liga_ROM,Liga_RUS,Liga_SC0,Liga_SC1,Liga_SP1,Liga_SP2,Liga_SWE,Liga_T1
-0.307926766501697,0.0349074158573943,-1.2464973941685462,-1.4401080598799314,0.7381902333913598,0.621977291506563,-0.3883420161468061,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.8095451695051732,-1.8644242025727158,1.2837442997527284,0.09141913822218564,-0.5198812717143976,-0.6016921586384393,0.06346608297295522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
-1.2862740101620282,-1.4885224162451396,0.018623452792091086,-0.8274971806390845,-0.10052410334581177,0.010142566434061867,0.23012338612406705,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.06964202964057042,0.11094962907039795,1.2837442997527284,1.3166408967038792,-0.10052410334581177,-0.2957747961021887,-0.2046282622223407,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.3209271947700527,0.3076516749317581,-0.8247904451816671,-0.21488630139823775,1.9962617384971173,0.9278946540428136,1.1474899389518043,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0275951862027446,1.4810353991313643,1.2837442997527284,1.929251775944726,-1.3585956084515691,0.010142566434061867,1.7507022156412189,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.7321558567653138,-0.367314125174247,0.8620373507658493,1.0103354570834557,0.31883306502277403,-0.6016921586384393,-0.4129874604360595,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.060645059222251656,0.27218298786204914,0.018623452792091086,-0.8274971806390845,-1.777952776820155,-1.8253616087834414,-0.2397931034643233,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.1078258080026657,-0.8018884125423702,-0.403083496194788,-1.133802620259508,-0.5198812717143976,-1.2135268837109403,-0.34596387413723684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.3117743485556917,-1.8300162612845299,0.018623452792091086,0.09141913822218564,-0.10052410334581177,-0.6016921586384393,1.7209473499749228,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08976727511368746,-2.418862763253055,1.2837442997527284,1.929251775944726,-0.5198812717143976,-0.2957747961021887,2.843141589182251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.6600054705642019,1.0152354078196275,1.2837442997527284,1.3166408967038792,0.7381902333913598,1.5397293791153146,-0.40306917188062863,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
